"PFT","SnapYr","Forest Type","AC_10","Age Class","SumOfHa"
"MIX",2000,"Mixedwood",25,"21-30",284141.82
"MIX",2000,"Mixedwood",35,"31-40",292472.92
"MIX",2000,"Mixedwood",45,"41-50",511798.33
"MIX",2000,"Mixedwood",55,"51-60",745729.53
"MIX",2000,"Mixedwood",65,"61-70",844634.82
"MIX",2000,"Mixedwood",75,"71-80",824548.85
"MIX",2000,"Mixedwood",85,"81-90",609025.96
"MIX",2000,"Mixedwood",95,"91-100",450796.67
"MIX",2000,"Mixedwood",105,"101-110",278129.28
"MIX",2000,"Mixedwood",115,"111-120",178726.37
"MIX",2000,"Mixedwood",125,"121-130",128994.74
"MIX",2000,"Mixedwood",135,"131-140",78847.18
"MIX",2000,"Mixedwood",145,"141-150",107330.55
"MIX",2000,"Mixedwood",155,"151-160",18193.78
"MIX",2000,"Mixedwood",165,"161-170",7848.14
"MIX",2000,"Mixedwood",175,"171-180",4942.49
"MIX",2000,"Mixedwood",185,"181+",3274.15
"MIX",2005,"Mixedwood",5,"0-10",292722.95
"MIX",2005,"Mixedwood",15,"11-20",287075.13
"MIX",2005,"Mixedwood",25,"21-30",364380.37
"MIX",2005,"Mixedwood",35,"31-40",251359.04
"MIX",2005,"Mixedwood",45,"41-50",287423.33
"MIX",2005,"Mixedwood",55,"51-60",434121.99
"MIX",2005,"Mixedwood",65,"61-70",553182.87
"MIX",2005,"Mixedwood",75,"71-80",669085.63
"MIX",2005,"Mixedwood",85,"81-90",554479.01
"MIX",2005,"Mixedwood",95,"91-100",385776.47
"MIX",2005,"Mixedwood",105,"101-110",254935.79
"MIX",2005,"Mixedwood",115,"111-120",158601.11
"MIX",2005,"Mixedwood",125,"121-130",81719.82
"MIX",2005,"Mixedwood",135,"131-140",58036.28
"MIX",2005,"Mixedwood",145,"141-150",31241.48
"MIX",2005,"Mixedwood",155,"151-160",33968.10
"MIX",2005,"Mixedwood",165,"161-170",3945.17
"MIX",2005,"Mixedwood",175,"171-180",2006.41
"MIX",2005,"Mixedwood",185,"181+",3202.16
"MIX",2010,"Mixedwood",5,"0-10",342699.68
"MIX",2010,"Mixedwood",15,"11-20",351401.18
"MIX",2010,"Mixedwood",25,"21-30",373288.91
"MIX",2010,"Mixedwood",35,"31-40",342396.09
"MIX",2010,"Mixedwood",45,"41-50",251028.76
"MIX",2010,"Mixedwood",55,"51-60",385536.00
"MIX",2010,"Mixedwood",65,"61-70",536527.71
"MIX",2010,"Mixedwood",75,"71-80",618970.19
"MIX",2010,"Mixedwood",85,"81-90",625139.76
"MIX",2010,"Mixedwood",95,"91-100",473110.44
"MIX",2010,"Mixedwood",105,"101-110",322477.25
"MIX",2010,"Mixedwood",115,"111-120",173959.67
"MIX",2010,"Mixedwood",125,"121-130",109980.49
"MIX",2010,"Mixedwood",135,"131-140",65189.36
"MIX",2010,"Mixedwood",145,"141-150",39785.26
"MIX",2010,"Mixedwood",155,"151-160",37194.73
"MIX",2010,"Mixedwood",165,"161-170",6329.50
"MIX",2010,"Mixedwood",175,"171-180",2585.07
"MIX",2010,"Mixedwood",185,"181+",4236.07
"MIX",2015,"Mixedwood",5,"0-10",264820.67
"MIX",2015,"Mixedwood",15,"11-20",353138.02
"MIX",2015,"Mixedwood",25,"21-30",353475.41
